x, u
-3, -1241.62
-2.875, -1240.98
-2.75, -1240.31
-2.625, -1239.61
-2.5, -1238.87
-2.375, -1238.08
-2.25, -1237.22
-2.125, -1236.3
-2, -1235.28
-1.875, -1234.16
-1.75, -1232.91
-1.625, -1231.51
-1.5, -1229.92
-1.375, -1228.1
-1.25, -1226.01
-1.125, -1223.59
-1, -1220.77
-0.875, -1217.48
-0.75, -1213.61
-0.625, -1209.03
-0.5, -1203.62
-0.375, -1197.19
-0.25, -1189.53
-0.125, -1180.4
0, -1169.47
0.125, -1156.39
0.25, -1140.7
0.375, -1121.88
0.5, -1099.26
0.625, -1072.06
0.75, -1039.35
0.875, -999.964
1, -952.536
1.125, -895.398
1.25, -826.543
1.375, -743.545
1.5, -643.478
1.625, -522.812
1.75, -377.283
1.875, -201.749
2, 10
